#       name            x            y            z 
 b'object00'     3.919905    11.854341     0.642630
 b'object01'     3.761100    12.958525     0.524826
 b'object02'     9.009763    89.731308     9.498718
 b'object03'     6.774086    44.937169     2.857650
 b'object04'     6.406513    34.329428     2.628764
 b'object05'     5.875236    27.561595     2.018617
 b'object06'     4.152365    15.500117     0.716324
 b'object07'     0.644389    -5.671976     0.043657
 b'object08'     0.166211     0.045605     0.003757
 b'object09'     7.441753    52.578713     3.552442
 b'object10'     8.467714    75.759342    10.431015
 b'object11'     7.006476    46.831974     3.475512
 b'object12'     3.573784    12.203721     0.587562
 b'object13'     8.180384    74.638480    13.841745
 b'object14'     4.464944    17.932443     0.988892
 b'object15'     9.476705   104.673654    11.854910
 b'object16'     4.112638    12.101586     0.621958
 b'object17'     9.414917   103.659607    14.257940
 b'object18'     5.054107    27.822441     1.040280
 b'object19'     2.405691     1.983374     0.261928
 b'object20'     2.786537     7.442876     0.261686
 b'object21'     2.443658     5.736367     0.347940
 b'object22'     8.457299    78.245845    11.515895
 b'object23'     9.627916   104.707552    14.064723
 b'object24'     3.105414     3.449754     0.368988
 b'object25'     9.478870   105.347122    16.152311
 b'object26'     0.115633     0.762633     0.003920
 b'object27'     1.444869     7.745784     0.127337
 b'object28'     9.985653   122.373838    13.879158
 b'object29'     4.631095    15.355218     0.708703
 b'object30'     3.252283    13.795634     0.543493
 b'object31'     9.158846    92.360212    11.169028
 b'object32'     4.753421    16.175130     1.042347
 b'object33'     4.695719    19.405588     0.675029
 b'object34'     9.996205   121.622147    13.709080
 b'object35'     5.434976    18.749062     1.436663
 b'object36'     2.715712     8.937405     0.449494
 b'object37'     7.809351    63.178634     7.833520
 b'object38'     5.693582    34.743863     2.863852
 b'object39'     0.483340    -2.636887     0.030299
 b'object40'     3.748678    10.981203     0.452165
 b'object41'     2.425765     3.609880     0.493012
 b'object42'     6.376883    36.580413     2.099223
 b'object43'     5.623938    26.372738     1.403790
 b'object44'     3.537467     8.816911     0.382356
 b'object45'     9.129924    93.376769     9.923850
 b'object46'     9.923828   122.095367    14.644464
 b'object47'     5.249648    23.849515     1.270350
 b'object48'     2.901834     6.628822     0.579346
 b'object49'     3.851626     5.334896     0.805182
 b'object50'     0.440119     4.869951     0.030252
 b'object51'     2.332871     4.016955     0.339039
 b'object52'     0.131875     2.034930     0.005313
 b'object53'     6.580296    32.914465     3.436897
 b'object54'     1.021837     2.774715     0.084794
 b'object55'     1.052815    -2.532613     0.077321
 b'object56'     6.238627    35.543335     3.032208
 b'object57'     6.228016    36.106270     3.692046
 b'object58'     0.850552     4.475162     0.090331
 b'object59'     6.402795    39.237635     2.497792
 b'object60'     9.346144    97.875043    13.925066
 b'object61'     1.494566     5.510833     0.163276
 b'object62'     2.439502    -1.350484     0.451334
 b'object63'     9.913783   117.871177    25.026149
 b'object64'     0.126423     2.162158     0.004287
 b'object65'     3.292598     5.675543     0.416865
 b'object66'     8.764682    78.401404    10.325781
 b'object67'     2.266569     5.066225     0.216468
 b'object68'     0.614878    -1.485215     0.054266
 b'object69'     2.152256    -0.210229     0.283972
 b'object70'     7.431876    51.944877     4.677417
 b'object71'     8.726421    88.272175     9.969405
 b'object72'     7.800420    58.766363     5.336332
 b'object73'     1.900342     3.485661     0.347632
 b'object74'     4.459071    10.482004     1.149254
 b'object75'     2.472000     2.776777     0.226868
 b'object76'     1.797961     4.334493     0.189799
 b'object77'     2.219987     1.279807     0.317589
 b'object78'     9.576017   104.171472    10.177466
 b'object79'     1.725318     6.520298     0.133128
 b'object80'     0.214367     0.043787     0.006379
 b'object81'     9.546576   111.488614    13.568997
 b'object82'     5.638448    30.094125     1.455182
 b'object83'     7.444478    50.411531     3.690672
 b'object84'     0.396644     0.950108     0.025965
 b'object85'     6.589965    41.184181     3.443750
 b'object86'     3.604433    12.575325     0.602296
 b'object87'     0.743100     4.536860     0.084756
 b'object88'     3.616009     5.521518     0.664215
 b'object89'     4.564258    15.057766     1.056967
 b'object90'     6.030399    27.887353     2.308607
 b'object91'     7.400478    51.210454     3.978500
 b'object92'     5.133798    21.739090     1.234947
 b'object93'     7.611060    54.741618     5.520169
 b'object94'     4.429346    21.700100     0.851907
 b'object95'     3.269360     4.476458     0.663236
 b'object96'     3.542229     6.581172     0.489421
 b'object97'     6.629382    39.241374     2.669927
 b'object98'     4.880948    12.557773     0.753660
 b'object99'     8.055733    63.300280     6.596561
